Model,Metric,0-10,10-25,25-45,45+,Overall,1-2,3-4,5-6,7+,0-10,10-25,25-45,45+,Overall
MST-AV,MAE,4.70,6.64,9.26,11.68,9.11,5.37,7.80,10.26,12.84,6.97,8.40,10.42,13.40,10.38
MST-AV,MAPE,68.2,40.2,28.9,19.7,24.0,51.2,33.2,23.5,21.1,88.2,46.8,33.6,24.0,29.6
MST-AV,RMSE,6.04,8.10,11.07,14.40,10.93,6.86,9.64,12.34,15.73,8.25,10.03,12.18,15.40,12.03
GDRN-DFT,MAE,3.81,6.30,6.89,8.16,6.72,4.69,7.92,8.41,9.95,6.27,8.16,9.25,10.34,9.44
GDRN-DFT,MAPE,47.6,35.0,20.0,12.9,16.6,41.9,31.7,19.2,16.4,73.7,38.8,26.5,17.3,25.1
GDRN-DFT,RMSE,5.04,7.65,8.70,10.31,8.43,6.06,9.76,10.25,11.80,7.31,9.56,10.66,11.98,10.62
KOOP-NET,MAE,1.34,5.06,10.39,13.38,10.02,2.63,5.97,12.21,15.16,3.60,6.76,9.13,11.99,10.15
KOOP-NET,MAPE,20.0,33.2,33.0,22.8,27.0,23.2,26.2,29.4,26.2,49.4,35.5,26.8,21.5,27.9
KOOP-NET,RMSE,2.12,6.75,12.42,16.21,11.96,3.66,7.69,14.74,18.17,4.53,8.04,10.65,13.75,11.21
FE-NN,MAE,3.14,4.61,9.71,12.02,9.45,2.86,5.74,11.75,14.23,2.56,5.01,7.73,10.70,8.91
FE-NN,MAPE,41.8,30.6,29.5,19.7,24.3,26.5,23.8,25.6,22.8,28.7,31.3,23.8,18.5,25.8
FE-NN,RMSE,4.37,6.07,11.52,14.51,11.27,3.89,7.35,14.17,17.12,3.49,6.29,9.02,12.46,11.56
RT-GCN,MAE,2.91,4.16,10.05,14.63,8.42,2.97,5.39,11.64,15.97,3.37,5.71,8.43,12.69,8.73
RT-GCN,MAPE,39.1,24.3,32.2,25.0,22.6,28.8,21.1,25.5,27.1,48.8,31.3,25.3,22.8,24.8
RT-GCN,RMSE,3.92,5.51,11.86,17.69,10.58,4.11,6.88,14.52,19.09,4.30,7.11,9.95,14.69,10.50
HYB-COMB(5),MAE,1.70,4.60,7.20,8.60,5.40,2.68,5.46,8.78,10.53,2.72,5.15,7.87,10.41,8.07
HYB-COMB(5),MAPE,24.6,25.4,19.9,13.6,15.0,23.9,21.6,20.1,17.3,32.7,32.1,24.1,17.5,23.2
HYB-COMB(5),RMSE,2.10,5.70,8.50,10.00,6.70,3.71,6.97,10.67,12.59,3.65,6.45,9.21,12.08,9.75
